ref;value;Item count
C1;220nF;1
C2,C3;22pF;2
C4;100uF;1
C5;10uF;1
C6;100 uF;1
C7;100uF;1
C8;100 uF;1
C9;0,1uF;1
C10;0,1 uF;1
C11;0,1uF;1
C12,C13;0,1 uF;2
D1..D8;LED;8
D9;1n4007;1
D10,D11;LED;2
D12;1n4007;1
D13;LED;1
D14;1n4007;1
J1;USB_2;1
K1;SELECTOR_V;1
K2;SERVO_1;1
K3;SERVO_2;1
K4;SERVO_3;1
K5;SERVO_4;1
K6;SERVO_5;1
K8;SELECTOR_V;1
P1;SALIDA_UNL2803;1
P2;VCC;1
P3;GND;1
P4;SENS_ANALOG;1
P5;CONN_4;1
P6;UNL2803;1
P7;PORT_B;1
P8;MOTOR_1;1
P9;MOTOR_2;1
P10;DC_IN;1
P11;sn_d1;1
P12;sn_d2;1
P13;sn_d3;1
P14;sn_d4;1
P15,P16;CONN_2;2
P17;DC_out;1
R1..R4;470;4
R5;R;1
R6..R9;470;4
R11;1k;1
R12;470;1
R13..R16;1k;4
R17;470;1
SW1;ON/OFF;1
SW2;RESET;1
SW3;ON/OFF;1
U1;PIC18F2550;1
U2;PIC18F4550;1
U3;L293D;1
U4;LM7805;1
U5;78L05;1
X1;CRYSTAL;1
